Lemma,Sense,SuperSense,POS_Tag,Definition,Head,HeadAmod,Gender,Examples
alto,alto.n.01,noun.person,n,a singer whose voice lies in the alto clef,singer,,,[]
amateur,amateur.n.01,noun.person,n,someone who pursues a study or sport as a pastime,someone,,,[]
amateur,amateur.n.02,noun.person,n,an athlete who does not play for pay,athlete,,,[]
american,american.n.01,noun.person,n,a native or inhabitant of the United States,a,,,[]
american,american.n.03,noun.person,n,a native or inhabitant of a North American or Central American or South American country,a,,,[]
amnesiac,amnesic.n.01,noun.person,n,a person suffering from amnesia,person,,,[]
amnesic,amnesic.n.01,noun.person,n,a person suffering from amnesia,person,,,[]
analphabetic,analphabet.n.01,noun.person,n,an illiterate person who does not know the alphabet,person,,,[]
ancient,ancient.n.01,noun.person,n,a very old person,person,,,[]
ancient,ancient.n.02,noun.person,n,a person who lived in ancient times,person,,,[]
andorran,andorran.n.01,noun.person,n,a native or inhabitant of Andorra,a,,,[]
anglican,anglican.n.01,noun.person,n,a Protestant who is a follower of Anglicanism,Protestant,,,[]
anglo-indian,anglo-indian.n.01,noun.person,n,a person of English citizenship born or living in India,person,,,[]
anglo-saxon,anglo-saxon.n.01,noun.person,n,a native or inhabitant of England prior to the Norman Conquest,a,,,[]
anglo-saxon,anglo-saxon.n.02,noun.person,n,a person of Anglo-Saxon (especially British) descent whose native tongue is English and whose culture is strongly influenced by English culture as in WASP for `White Anglo-Saxon Protestant',person,,,"['in the ninth century the Vikings began raiding the Anglo-Saxons in Britain', 'his ancestors were not just British, they were Anglo-Saxons']"
angolan,angolan.n.01,noun.person,n,a native or inhabitant of Angola,a,,,[]
anguillan,anguillan.n.01,noun.person,n,a native or inhabitant of the island of Anguilla in the West Indies,a,,,[]
animist,animist.n.01,noun.person,n,one who accepts the doctrine of animism,one,,,[]
anorectic,anorexic.n.01,noun.person,n,a person suffering from anorexia nervosa,person,,,[]
anorexic,anorexic.n.01,noun.person,n,a person suffering from anorexia nervosa,person,,,[]
antecedent,ancestor.n.01,noun.person,n,someone from whom you are descended (but usually more remote than a grandparent),someone,,,[]
antediluvian,antediluvian.n.01,noun.person,n,any of the early patriarchs who lived prior to the Noachian deluge,any,,,[]
antediluvian,ancient.n.01,noun.person,n,a very old person,person,,,[]
anthropoid,anthropoid.n.01,noun.person,n,person who resembles a nonhuman primate,person,,,[]
anti,anti.n.01,noun.person,n,a person who is opposed (to an action or policy or practice etc.),person,,,['the antis smelled victory after a long battle']
anti-american,anti-american.n.01,noun.person,n,a person who is opposed to the United States and its policies,person,,,[]
anti-intellectual,philistine.n.01,noun.person,n,a person who is uninterested in intellectual pursuits,person,,,[]
anti-semite,anti-semite.n.01,noun.person,n,someone who hates and would persecute Jews,someone,,,[]
anticipant,anticipator.n.01,noun.person,n,one who anticipates,one,,,[]
antiguan,antiguan.n.01,noun.person,n,a native or inhabitant of Antigua,a,,,[]
antinomian,antinomian.n.01,noun.person,n,a follower of the doctrine of antinomianism,follower,,,[]
antiquarian,antiquary.n.01,noun.person,n,an expert or collector of antiquities,expert,,,[]
antique,old-timer.n.02,noun.person,n,an elderly man,man,,M,[]
aphakic,aphakic.n.01,noun.person,n,someone afflicted by aphakia; someone lacking the natural lenses of the eyes,afflicted,,,[]
aphasic,aphasic.n.01,noun.person,n,someone affected by aphasia or inability to use or understand language,affected,,,[]
apostate,deserter.n.01,noun.person,n,a disloyal person who betrays or deserts his cause or religion or political party or friend etc.,person,,,[]
appalachian,appalachian.n.01,noun.person,n,a native or inhabitant of Appalachia,a,,,[]
appellant,appellant.n.01,noun.person,n,the party who appeals a decision of a lower court,party,,,[]
arabian,arab.n.01,noun.person,n,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa,member,,,[]
aramaean,aramean.n.01,noun.person,n,a member of one of a group of Semitic peoples inhabiting Aram and parts of Mesopotamia from the 11th to the 8th century BC,member,,,[]
aramean,aramean.n.01,noun.person,n,a member of one of a group of Semitic peoples inhabiting Aram and parts of Mesopotamia from the 11th to the 8th century BC,member,,,[]
arawakan,arawak.n.01,noun.person,n,a member of a widespread group of Amerindians living in northeastern South America,member,,,[]
arcadian,arcadian.n.01,noun.person,n,an inhabitant of Arcadia,inhabitant,,,[]
argentinian,argentinian.n.01,noun.person,n,a native or inhabitant of Argentina,a,,,[]
argive,argive.n.01,noun.person,n,a native or inhabitant of the city of Argos,a,,,[]
aristotelean,aristotelian.n.01,noun.person,n,a follower of Aristotle or an adherent of Aristotelianism,follower,,,[]
aristotelian,aristotelian.n.01,noun.person,n,a follower of Aristotle or an adherent of Aristotelianism,follower,,,[]
armenian,armenian.n.01,noun.person,n,a native or inhabitant of Armenia,a,,,[]
arminian,arminian.n.01,noun.person,n,adherent of Arminianism,adherent,,,[]
arthritic,arthritic.n.01,noun.person,n,a person afflicted with arthritis,afflicted,,,['the hands of an elderly arthritic']
aryan,aryan.n.01,noun.person,n,(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew),doctrine,,,[]
aryan,aryan.n.02,noun.person,n,a member of the prehistoric people who spoke Proto-Indo European,member,,,[]
ascendant,ancestor.n.01,noun.person,n,someone from whom you are descended (but usually more remote than a grandparent),someone,,,[]
ascendent,ancestor.n.01,noun.person,n,someone from whom you are descended (but usually more remote than a grandparent),someone,,,[]
ascetic,abstainer.n.01,noun.person,n,someone who practices self denial as a spiritual discipline,someone,,,[]
asian,asian.n.01,noun.person,n,a native or inhabitant of Asia,a,,,[]
asiatic,asian.n.01,noun.person,n,a native or inhabitant of Asia,a,,,[]
aspirant,aspirant.n.01,noun.person,n,an ambitious and aspiring young person,person,,,"['a lofty aspirant', 'two executive hopefuls joined the firm', 'the audience was full of Madonna wannabes']"
assamese,assamese.n.01,noun.person,n,native or inhabitant of the state of Assam in northeastern India,native,,,[]
assistant,assistant.n.01,noun.person,n,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,person,,,"['my invaluable assistant', 'they hired additional help to finish the work']"
associate,associate.n.01,noun.person,n,a person who joins with others in some activity or endeavor,person,,,['he had to consult his associate before continuing']
associate,companion.n.01,noun.person,n,a friend who is frequently in the company of another,friend,,,"['drinking companions', 'comrades in arms']"
associate,associate.n.03,noun.person,n,"a person with subordinate membership in a society, institution, or commercial enterprise",enterprise,,,['associates in the law firm bill at a lower rate than do partners']
asthmatic,asthmatic.n.01,noun.person,n,a person suffering from asthma,person,,,"['she is a chronic asthmatic', 'the painful gasps of a dying asthmatic']"
atheist,atheist.n.01,noun.person,n,someone who denies the existence of god,someone,,,[]
athenian,athenian.n.01,noun.person,n,a resident of Athens,resident,,,[]
attendant,attendant.n.01,noun.person,n,someone who waits on or tends to or attends to the needs of another,someone,,,[]
attendant,attendant.n.02,noun.person,n,a person who is present and participates in a meeting,person,,,"['he was a regular attender at department meetings', 'the gathering satisfied both organizers and attendees']"
audile,audile.n.01,noun.person,n,one whose mental imagery is auditory rather than visual or motor,one,,,[]
australian,australian.n.01,noun.person,n,a native or inhabitant of Australia,a,,,[]
austrian,austrian.n.01,noun.person,n,a native or inhabitant of Austria,a,,,[]
austronesian,austronesian.n.01,noun.person,n,a native or inhabitant of Austronesia,a,,,[]
authoritarian,authoritarian.n.01,noun.person,n,a person who behaves in a tyrannical manner,person,,,['my boss is a dictator who makes everyone work overtime']
auxiliary,aide.n.02,noun.person,n,someone who acts as assistant,someone,,,[]
awol,awol.n.01,noun.person,n,one who is away or absent without leave,one,,,[]
azerbaijani,azerbaijani.n.01,noun.person,n,a native or inhabitant of Azerbaijan,a,,,[]
babylonian,babylonian.n.01,noun.person,n,an inhabitant of ancient Babylon,inhabitant,,,[]
bacchanal,drunken_reveler.n.01,noun.person,n,someone who engages in drinking bouts,someone,,,[]
bacchanal,bacchant.n.02,noun.person,n,a drunken reveller; a devotee of Bacchus,reveller,,,[]
back,back.n.04,noun.person,n,(football) a person who plays in the backfield,football,,,[]
bahai,bahai.n.01,noun.person,n,a teacher of or believer in Bahaism,teacher,,,[]
bahamian,bahamian.n.01,noun.person,n,a native or inhabitant of the Bahamas,a,,,[]
bahraini,bahraini.n.01,noun.person,n,a native or inhabitant of Bahrain,a,,,[]
bangladeshi,bangladeshi.n.01,noun.person,n,a native or inhabitant of Bangladesh,a,,,[]
bankrupt,bankrupt.n.01,noun.person,n,someone who has insufficient assets to cover their debts,someone,,,[]
bantu,bantu.n.01,noun.person,n,a member of any of a large number of linguistically related peoples of Central and South Africa,member,,,[]
barbadian,barbadian.n.01,noun.person,n,a native or inhabitant of Barbados,a,,,[]
barbarian,savage.n.01,noun.person,n,a member of an uncivilized people,member,,,[]
barbarian,peasant.n.03,noun.person,n,a crude uncouth ill-bred person lacking culture or refinement,person,,,[]
baritone,baritone.n.01,noun.person,n,a male singer,singer,male,M,[]
bass,bass.n.03,noun.person,n,an adult male singer with the lowest voice,singer,male,M,[]
bastard,asshole.n.01,noun.person,n,insulting terms of address for people who are stupid or irritating or ridiculous,terms,,,[]
bastard,bastard.n.02,noun.person,n,the illegitimate offspring of unmarried parents,offspring,,,[]
bavarian,bavarian.n.01,noun.person,n,a native or an inhabitant of Bavaria,a,,,[]
beat,beatnik.n.01,noun.person,n,a member of the beat generation; a nonconformist in dress and behavior,member,,,[]
behaviorist,behaviorist.n.01,noun.person,n,a psychologist who subscribes to behaviorism,psychologist,,,[]
behaviourist,behaviorist.n.01,noun.person,n,a psychologist who subscribes to behaviorism,psychologist,,,[]
belgian,belgian.n.01,noun.person,n,a native or inhabitant of Belgium,a,,,[]
belligerent,combatant.n.01,noun.person,n,someone who fights (or is fighting),someone,,,[]
beloved,beloved.n.01,noun.person,n,a beloved person; used as terms of endearment,person,,,[]
benedictine,benedictine.n.01,noun.person,n,a monk or nun belonging to the order founded by Saint Benedict,monk,,M,[]
beneficiary,beneficiary.n.01,noun.person,n,the recipient of funds or other benefits,recipient,,,[]
bengali,bengali.n.01,noun.person,n,(Hinduism) a member of a people living in Bangladesh and West Bengal (mainly Hindus),Hinduism,,,[]
beninese,beninese.n.01,noun.person,n,a native or inhabitant of Benin,a,,,[]
bereaved,bereaved.n.01,noun.person,n,a person who has suffered the death of someone they loved,loved,,,['the bereaved do not always need to be taken care of']
bermudan,bermudan.n.01,noun.person,n,a native or inhabitant of Bermuda,a,,,[]
berserk,berserker.n.01,noun.person,n,one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury,one,,,[]
best,best.n.02,noun.person,n,the person who is most outstanding or excellent; someone who tops all others,person,,,['he could beat the best of them']
best,best.n.03,noun.person,n,Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978),physiologist,,,[]
betrothed,betrothed.n.01,noun.person,n,the person to whom you are engaged,person,,,[]
better,bettor.n.01,noun.person,n,someone who bets,someone,,,[]
better,better.n.03,noun.person,n,a superior person having claim to precedence,person,,,['the common man has been kept in his place by his betters']
bhutanese,bhutanese.n.01,noun.person,n,a native or inhabitant of Bhutan,a,,,[]
bilingual,bilingual.n.01,noun.person,n,a person who speaks two languages fluently,person,,,[]
bisexual,bisexual.n.01,noun.person,n,a person who is sexually attracted to both sexes,person,,,[]
black,black.n.03,noun.person,n,British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799),chemist,,,[]
black,black.n.04,noun.person,n,popular child actress of the 1930's (born in 1928),actress,,F,[]
black,black.n.05,noun.person,n,a person with dark skin who comes from Africa (or whose ancestors came from Africa),came,,,[]
blond,blond.n.01,noun.person,n,a person with fair skin and hair,person,,,[]
blonde,blond.n.01,noun.person,n,a person with fair skin and hair,person,,,[]
bohemian,gypsy.n.02,noun.person,n,"a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)",member,,,[]
bohemian,bohemian.n.02,noun.person,n,a native or inhabitant of Bohemia in the Czech Republic,a,,,[]
bohemian,bohemian.n.03,noun.person,n,a nonconformist writer or artist who lives an unconventional life,writer,,,[]
bolivian,bolivian.n.01,noun.person,n,a native or inhabitant of Bolivia,a,,,[]
bolshevik,bolshevik.n.01,noun.person,n,emotionally charged terms used to refer to extreme radicals or revolutionaries,used,,,[]
bolshevik,bolshevik.n.02,noun.person,n,a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party,member,,,[]
bolshevist,bolshevik.n.02,noun.person,n,a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party,member,,,[]
bolshy,bolshevik.n.01,noun.person,n,emotionally charged terms used to refer to extreme radicals or revolutionaries,used,,,[]
born,born.n.01,noun.person,n,British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970),honored,,,[]
boss,foreman.n.01,noun.person,n,a person who exercises control over workers,person,,,['if you want to leave early you have to ask the foreman']
boss,boss.n.02,noun.person,n,a person responsible for hiring workers,person,,,['the boss hired three more men for the new job']
boss,boss.n.03,noun.person,n,a person who exercises control and makes decisions,person,,,['he is his own boss now']
boss,party_boss.n.01,noun.person,n,a leader in a political party who controls votes and dictates appointments,leader,,,['party bosses have a reputation for corruption']
bourgeois,businessperson.n.01,noun.person,n,a capitalist who engages in industrial commercial enterprise,capitalist,,,[]
bourgeois,bourgeois.n.02,noun.person,n,a member of the middle class,member,,,[]
brachycephalic,brachycephalic.n.01,noun.person,n,an adult with a short broad head,adult,,,[]
braggart,bragger.n.01,noun.person,n,a very boastful and talkative person,person,,,[]
brave,brave.n.01,noun.person,n,a North American Indian warrior,warrior,,,[]
brazilian,brazilian.n.01,noun.person,n,a native or inhabitant of Brazil,a,,,[]
british,british.n.01,noun.person,n,the people of Great Britain,people,,,[]
briton,britisher.n.01,noun.person,n,a native or inhabitant of Great Britain,a,,,[]
briton,briton.n.02,noun.person,n,an inhabitant of southern Britain prior to the Anglo-Saxon invasions,inhabitant,,,[]
broad,broad.n.01,noun.person,n,slang term for a woman,term,,,['a broad is a woman who can throw a mean punch']
brown,brown.n.02,noun.person,n,Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858),botanist,,,[]
brown,brown.n.03,noun.person,n,"abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)",abolitionist,,,[]
bruneian,bruneian.n.01,noun.person,n,a native or inhabitant of Brunei,a,,,[]
brunet,brunet.n.01,noun.person,n,a person with dark (brown) hair,person,,,[]
brunette,brunet.n.01,noun.person,n,a person with dark (brown) hair,person,,,[]
brute,beast.n.02,noun.person,n,a cruelly rapacious person,person,,,[]
bucolic,peasant.n.01,noun.person,n,a country person,person,,,[]
buddhist,buddhist.n.01,noun.person,n,one who follows the teachings of Buddha,one,,,[]
buff,fan.n.03,noun.person,n,an ardent follower and admirer,follower,,,[]
bulgarian,bulgarian.n.01,noun.person,n,a native or inhabitant of Bulgaria,a,,,[]
bulimic,bulimic.n.01,noun.person,n,a person suffering from bulimia,person,,,[]
bully,bully.n.01,noun.person,n,a cruel and brutal fellow,fellow,,M,[]
bully,bully.n.02,noun.person,n,a hired thug,thug,,,[]
bum,rotter.n.01,noun.person,n,a person who is deemed to be despicable or contemptible,person,,,"['only a rotter would do that', 'kill the rat', 'throw the bum out', 'you cowardly little pukes!', ""the British call a contemptible person a `git'""]"
bum,tramp.n.01,noun.person,n,a disreputable vagrant,vagrant,,,"['a homeless tramp', 'he tried to help the really down-and-out bums']"
bum,idler.n.01,noun.person,n,person who does no work,person,,,['a lazy bum']
burmese,burmese.n.01,noun.person,n,a native or inhabitant of Myanmar,a,,,[]
burundian,burundian.n.01,noun.person,n,a native or inhabitant of Burundi,a,,,[]
bush,bush.n.04,noun.person,n,43rd President of the United States; son of George Herbert Walker Bush (born in 1946),President,,,[]
bush,bush.n.05,noun.person,n,United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974),engineer,,,[]
bush,bush.n.06,noun.person,n,vice president under Reagan and 41st President of the United States (born in 1924),president,,,[]
butch,butch.n.01,noun.person,n,(slang) offensive term for a lesbian who is noticeably masculine,masculine,,,[]
byzantine,byzantine.n.01,noun.person,n,a native or inhabitant of Byzantium or of the Byzantine Empire,a,,,[]
caitiff,caitiff.n.01,noun.person,n,a cowardly and despicable person,person,,,[]
californian,californian.n.01,noun.person,n,a native or resident of California,a,,,[]
caller,caller.n.01,noun.person,n,a social or business visitor,visitor,,,"[""the room was a mess because he hadn't expected company""]"
caller,caller.n.02,noun.person,n,an investor who buys a call option,investor,,,[]
caller,caller.n.03,noun.person,n,the bettor in a card game who matches the bet and calls for a show of hands,bettor,,,[]
caller,caller.n.04,noun.person,n,a person who announces the changes of steps during a dance,person,,,['you need a fiddler and a caller for country dancing']
caller,caller.n.05,noun.person,n,someone who proclaims or summons in a loud voice,someone,,,['the callers were mothers summoning their children home for dinner']
caller,caller.n.06,noun.person,n,the person who convenes a meeting,person,,,['who is the caller of this meeting?']
caller,caller.n.07,noun.person,n,the person initiating a telephone call,person,,,['there were so many callers that he finally disconnected the telephone']
calvinist,calvinist.n.01,noun.person,n,an adherent of the theological doctrines of John Calvin,adherent,,,[]
cambodian,cambodian.n.01,noun.person,n,a native or inhabitant of Cambodia,a,,,[]
cambrian,welshman.n.01,noun.person,n,a native or resident of Wales,a,,,[]
cameroonian,cameroonian.n.01,noun.person,n,a native or inhabitant of Cameroon,a,,,[]
canadian,canadian.n.01,noun.person,n,a native or inhabitant of Canada,a,,,[]
canary,fink.n.01,noun.person,n,someone acting as an informer or decoy for the police,someone,,,[]
canary,canary.n.02,noun.person,n,a female singer,singer,female,F,[]
canonist,canonist.n.01,noun.person,n,a specialist in canon law,specialist,,,[]
capetian,capetian.n.01,noun.person,n,a member of the Capetian dynasty,member,,,[]
capitalist,capitalist.n.01,noun.person,n,a conservative advocate of capitalism,advocate,,,[]
capitalist,capitalist.n.02,noun.person,n,a person who invests capital in a business (especially a large business),person,,,[]
captive,prisoner.n.01,noun.person,n,a person who is confined; especially a prisoner of war,person,,,[]
captive,captive.n.02,noun.person,n,an animal that is confined,animal,,,[]
captive,captive.n.03,noun.person,n,a person held in the grip of a strong emotion or passion,person,,,[]
cardinal,cardinal.n.01,noun.person,n,(Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes,Church,,,[]
carmelite,carmelite.n.01,noun.person,n,a Roman Catholic friar wearing the white cloak of the Carmelite order; mendicant preachers,friar,,M,[]
carolingian,carolingian.n.01,noun.person,n,a member of the Carolingian dynasty,member,,,[]
cartesian,cartesian.n.01,noun.person,n,a follower of Cartesian thought,follower,,,[]
carthaginian,carthaginian.n.01,noun.person,n,a native or inhabitant of ancient Carthage,a,,,[]
carthusian,carthusian.n.01,noun.person,n,a member of the Carthusian order,member,,,[]
catalan,catalan.n.01,noun.person,n,a native or inhabitant of Catalonia,a,,,[]
cataleptic,cataleptic.n.01,noun.person,n,a person suffering from catalepsy,person,,,[]
catholic,catholic.n.01,noun.person,n,a member of a Catholic church,member,,,[]
caucasian,white.n.01,noun.person,n,a member of the Caucasoid race,member,,,[]
cavalier,cavalier.n.01,noun.person,n,a gallant or courtly gentleman,gentleman,,M,[]
cavalier,cavalier.n.02,noun.person,n,a royalist supporter of Charles I during the English Civil War,supporter,,,[]
celibate,celibate.n.01,noun.person,n,an unmarried person who has taken a religious vow of chastity,person,,,[]
centenarian,centenarian.n.01,noun.person,n,someone who is at least 100 years old,old,,,[]
center,center.n.09,noun.person,n,(basketball) the person who plays center on a basketball team,basketball,,,[]
center,center.n.10,noun.person,n,(football) the person who plays center on the line of scrimmage and snaps the ball to the quarterback,football,,,['the center fumbled the handoff']
center,center.n.13,noun.person,n,(ice hockey) the person who plays center on a hockey team,hockey,,,[]
central_american,central_american.n.01,noun.person,n,a native or inhabitant of Central America,a,,,[]
centrist,centrist.n.01,noun.person,n,a person who takes a position in the political center,person,,,[]
chadian,chadian.n.01,noun.person,n,a native or inhabitant of Chad,a,,,[]
chaldaean,chaldean.n.01,noun.person,n,a wise man skilled in occult learning,man,,M,[]
chaldaean,chaldean.n.02,noun.person,n,an inhabitant of ancient Chaldea,inhabitant,,,[]
chaldean,chaldean.n.01,noun.person,n,a wise man skilled in occult learning,man,,M,[]
chaldean,chaldean.n.02,noun.person,n,an inhabitant of ancient Chaldea,inhabitant,,,[]
chaldee,chaldean.n.01,noun.person,n,a wise man skilled in occult learning,man,,M,[]
chaldee,chaldean.n.02,noun.person,n,an inhabitant of ancient Chaldea,inhabitant,,,[]
champion,champion.n.01,noun.person,n,someone who has won first place in a competition,someone,,,[]
champion,champion.n.02,noun.person,n,someone who fights for a cause,someone,,,[]
champion,supporter.n.01,noun.person,n,a person who backs a politician or a team etc.,person,,,"['all their supporters came out for the game', 'they are friends of the library']"
champion,ace.n.03,noun.person,n,someone who is dazzlingly skilled in any field,someone,,,[]
cheapjack,cheapjack.n.01,noun.person,n,a peddler of inferior goods,peddler,,,[]
chechen,chechen.n.01,noun.person,n,a native or inhabitant of Chechnya,a,,,[]
chichi,chichi.n.01,noun.person,n,someone who dresses in a trendy fashionable way,someone,,,[]
chicken,wimp.n.01,noun.person,n,"a person who lacks confidence, is irresolute and wishy-washy",irresolute,,,[]
chief,head.n.04,noun.person,n,a person who is in charge,person,,,['the head of the whole operation']
chief,foreman.n.01,noun.person,n,a person who exercises control over workers,person,,,['if you want to leave early you have to ask the foreman']
chief,headman.n.02,noun.person,n,the head of a tribe or clan,head,,,[]
chilean,chilean.n.01,noun.person,n,a native or inhabitant of Chile,a,,,[]
chinese,chinese.n.02,noun.person,n,a native or inhabitant of Communist China or of Nationalist China,a,,,[]
chippendale,chippendale.n.01,noun.person,n,a British cabinetmaker remembered for his graceful designs (especially of chairs) which influenced his contemporaries (1718-1779),remembered,,,[]
christian,christian.n.01,noun.person,n,a religious person who believes Jesus is the Christ and who is a member of a Christian denomination,member,,,[]
civilian,civilian.n.01,noun.person,n,a nonmilitary citizen,citizen,,,[]
clairvoyant,clairvoyant.n.01,noun.person,n,someone who has the power of clairvoyance,someone,,,[]
classic,classic.n.02,noun.person,n,an artist who has created classic works,artist,,,[]
co-ed,co-ed.n.01,noun.person,n,a female student at a coeducational college or university,student,female,F,[]
cockney,cockney.n.01,noun.person,n,a native of the east end of London,native,,,[]
coeval,contemporary.n.01,noun.person,n,a person of nearly the same age as another,person,,,[]
cognate,blood_relation.n.01,noun.person,n,one related by blood or origin; especially on sharing an ancestor with another,one,,,[]
collectivist,collectivist.n.01,noun.person,n,a person who belongs to the political left,person,,,[]
colombian,colombian.n.01,noun.person,n,a native or inhabitant of Colombia,a,,,[]
colonial,colonial.n.01,noun.person,n,a resident of a colony,resident,,,[]
