Lemma,Sense,SuperSense,POS_Tag,Definition,Examples,Head,Amod/Comp,Gender
algonquian,algonquian.n.01,noun.person,n,a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast,[],member,,N
algonquin,algonquian.n.01,noun.person,n,a member of any of the North American Indian groups speaking an Algonquian language and originally living in the subarctic regions of eastern Canada; many Algonquian tribes migrated south into the woodlands from the Mississippi River to the Atlantic coast,[],member,,N
alien,foreigner.n.01,noun.person,n,a person who comes from a foreign country; someone who does not owe allegiance to your country,[],person,,N
alien,stranger.n.01,noun.person,n,anyone who does not belong in the environment in which they are found,[],,,
alien,extraterrestrial_being.n.01,noun.person,n,a form of life assumed to exist outside the Earth or its atmosphere,[],,,
almighty,godhead.n.01,noun.person,n,terms referring to the Judeo-Christian God,[],,,
alsatian,alsatian.n.01,noun.person,n,a native or inhabitant of Alsace,[],,,
altaic,altaic.n.01,noun.person,n,any member of the peoples speaking a language in the Altaic language group,[],member,,N
alternate,surrogate.n.01,noun.person,n,someone who takes the place of another person,[],someone,,N
alto,alto.n.01,noun.person,n,a singer whose voice lies in the alto clef,[],,,N
amateur,amateur.n.01,noun.person,n,someone who pursues a study or sport as a pastime,[],someone,,N
amateur,amateur.n.02,noun.person,n,an athlete who does not play for pay,[],,,N
american,american.n.01,noun.person,n,a native or inhabitant of the United States,[],,,
american,american.n.03,noun.person,n,a native or inhabitant of a North American or Central American or South American country,[],,,
amnesiac,amnesic.n.01,noun.person,n,a person suffering from amnesia,[],person,,N
amnesic,amnesic.n.01,noun.person,n,a person suffering from amnesia,[],person,,N
analphabetic,analphabet.n.01,noun.person,n,an illiterate person who does not know the alphabet,[],person,,N
ancient,ancient.n.01,noun.person,n,a very old person,[],person,,N
ancient,ancient.n.02,noun.person,n,a person who lived in ancient times,[],person,,N
andorran,andorran.n.01,noun.person,n,a native or inhabitant of Andorra,[],,,
anglican,anglican.n.01,noun.person,n,a Protestant who is a follower of Anglicanism,[],,,
anglo-indian,anglo-indian.n.01,noun.person,n,a person of English citizenship born or living in India,[],person,,N
anglo-saxon,anglo-saxon.n.01,noun.person,n,a native or inhabitant of England prior to the Norman Conquest,[],,,
anglo-saxon,anglo-saxon.n.02,noun.person,n,a person of Anglo-Saxon (especially British) descent whose native tongue is English and whose culture is strongly influenced by English culture as in WASP for `White Anglo-Saxon Protestant',"['in the ninth century the Vikings began raiding the Anglo-Saxons in Britain', 'his ancestors were not just British, they were Anglo-Saxons']",person,,N
angolan,angolan.n.01,noun.person,n,a native or inhabitant of Angola,[],,,
anguillan,anguillan.n.01,noun.person,n,a native or inhabitant of the island of Anguilla in the West Indies,[],,,
animist,animist.n.01,noun.person,n,one who accepts the doctrine of animism,[],one,,N
anorectic,anorexic.n.01,noun.person,n,a person suffering from anorexia nervosa,[],person,,N
anorexic,anorexic.n.01,noun.person,n,a person suffering from anorexia nervosa,[],person,,N
antecedent,ancestor.n.01,noun.person,n,someone from whom you are descended (but usually more remote than a grandparent),[],someone,,N
antediluvian,antediluvian.n.01,noun.person,n,any of the early patriarchs who lived prior to the Noachian deluge,[],,,
antediluvian,ancient.n.01,noun.person,n,a very old person,[],person,,N
anthropoid,anthropoid.n.01,noun.person,n,person who resembles a nonhuman primate,[],person,,N
anti,anti.n.01,noun.person,n,a person who is opposed (to an action or policy or practice etc.),['the antis smelled victory after a long battle'],person,,N
anti-american,anti-american.n.01,noun.person,n,a person who is opposed to the United States and its policies,[],person,,N
anti-intellectual,philistine.n.01,noun.person,n,a person who is uninterested in intellectual pursuits,[],person,,N
anti-semite,anti-semite.n.01,noun.person,n,someone who hates and would persecute Jews,[],someone,,N
anticipant,anticipator.n.01,noun.person,n,one who anticipates,[],one,,N
antiguan,antiguan.n.01,noun.person,n,a native or inhabitant of Antigua,[],,,
antinomian,antinomian.n.01,noun.person,n,a follower of the doctrine of antinomianism,[],,,N
antiquarian,antiquary.n.01,noun.person,n,an expert or collector of antiquities,[],,,N
antique,old-timer.n.02,noun.person,n,an elderly man,[],man,,M
aphakic,aphakic.n.01,noun.person,n,someone afflicted by aphakia; someone lacking the natural lenses of the eyes,[],someone,,N
aphasic,aphasic.n.01,noun.person,n,someone affected by aphasia or inability to use or understand language,[],someone,,N
apostate,deserter.n.01,noun.person,n,a disloyal person who betrays or deserts his cause or religion or political party or friend etc.,[],person,,N
appalachian,appalachian.n.01,noun.person,n,a native or inhabitant of Appalachia,[],,,
appellant,appellant.n.01,noun.person,n,the party who appeals a decision of a lower court,[],,,N
arabian,arab.n.01,noun.person,n,a member of a Semitic people originally from the Arabian peninsula and surrounding territories who speaks Arabic and who inhabits much of the Middle East and northern Africa,[],member,,N
aramaean,aramean.n.01,noun.person,n,a member of one of a group of Semitic peoples inhabiting Aram and parts of Mesopotamia from the 11th to the 8th century BC,[],member,,N
aramean,aramean.n.01,noun.person,n,a member of one of a group of Semitic peoples inhabiting Aram and parts of Mesopotamia from the 11th to the 8th century BC,[],member,,N
arawakan,arawak.n.01,noun.person,n,a member of a widespread group of Amerindians living in northeastern South America,[],member,,N
arcadian,arcadian.n.01,noun.person,n,an inhabitant of Arcadia,[],,,N
argentinian,argentinian.n.01,noun.person,n,a native or inhabitant of Argentina,[],,,
argive,argive.n.01,noun.person,n,a native or inhabitant of the city of Argos,[],,,
aristotelean,aristotelian.n.01,noun.person,n,a follower of Aristotle or an adherent of Aristotelianism,[],,,N
aristotelian,aristotelian.n.01,noun.person,n,a follower of Aristotle or an adherent of Aristotelianism,[],,,N
armenian,armenian.n.01,noun.person,n,a native or inhabitant of Armenia,[],,,
arminian,arminian.n.01,noun.person,n,adherent of Arminianism,[],,,N
arthritic,arthritic.n.01,noun.person,n,a person afflicted with arthritis,['the hands of an elderly arthritic'],person,,N
aryan,aryan.n.01,noun.person,n,(according to Nazi doctrine) a Caucasian person of Nordic descent (and not a Jew),[],,,
aryan,aryan.n.02,noun.person,n,a member of the prehistoric people who spoke Proto-Indo European,[],member,,N
ascendant,ancestor.n.01,noun.person,n,someone from whom you are descended (but usually more remote than a grandparent),[],someone,,N
ascendent,ancestor.n.01,noun.person,n,someone from whom you are descended (but usually more remote than a grandparent),[],someone,,N
ascetic,abstainer.n.01,noun.person,n,someone who practices self denial as a spiritual discipline,[],someone,,N
asian,asian.n.01,noun.person,n,a native or inhabitant of Asia,[],,,
asiatic,asian.n.01,noun.person,n,a native or inhabitant of Asia,[],,,
aspirant,aspirant.n.01,noun.person,n,an ambitious and aspiring young person,"['a lofty aspirant', 'two executive hopefuls joined the firm', 'the audience was full of Madonna wannabes']",person,,N
assamese,assamese.n.01,noun.person,n,native or inhabitant of the state of Assam in northeastern India,[],,,N
assistant,assistant.n.01,noun.person,n,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose,"['my invaluable assistant', 'they hired additional help to finish the work']",person,,N
associate,associate.n.01,noun.person,n,a person who joins with others in some activity or endeavor,['he had to consult his associate before continuing'],person,,N
associate,companion.n.01,noun.person,n,a friend who is frequently in the company of another,"['drinking companions', 'comrades in arms']",,,N
associate,associate.n.03,noun.person,n,"a person with subordinate membership in a society, institution, or commercial enterprise",['associates in the law firm bill at a lower rate than do partners'],,,
asthmatic,asthmatic.n.01,noun.person,n,a person suffering from asthma,"['she is a chronic asthmatic', 'the painful gasps of a dying asthmatic']",person,,N
atheist,atheist.n.01,noun.person,n,someone who denies the existence of god,[],someone,,N
athenian,athenian.n.01,noun.person,n,a resident of Athens,[],,,N
attendant,attendant.n.01,noun.person,n,someone who waits on or tends to or attends to the needs of another,[],someone,,N
attendant,attendant.n.02,noun.person,n,a person who is present and participates in a meeting,"['he was a regular attender at department meetings', 'the gathering satisfied both organizers and attendees']",person,,N
audile,audile.n.01,noun.person,n,one whose mental imagery is auditory rather than visual or motor,[],one,,N
australian,australian.n.01,noun.person,n,a native or inhabitant of Australia,[],,,
austrian,austrian.n.01,noun.person,n,a native or inhabitant of Austria,[],,,
austronesian,austronesian.n.01,noun.person,n,a native or inhabitant of Austronesia,[],,,
authoritarian,authoritarian.n.01,noun.person,n,a person who behaves in a tyrannical manner,['my boss is a dictator who makes everyone work overtime'],person,,N
auxiliary,aide.n.02,noun.person,n,someone who acts as assistant,[],someone,,N
awol,awol.n.01,noun.person,n,one who is away or absent without leave,[],one,,N
azerbaijani,azerbaijani.n.01,noun.person,n,a native or inhabitant of Azerbaijan,[],,,
babylonian,babylonian.n.01,noun.person,n,an inhabitant of ancient Babylon,[],,,N
bacchanal,drunken_reveler.n.01,noun.person,n,someone who engages in drinking bouts,[],someone,,N
bacchanal,bacchant.n.02,noun.person,n,a drunken reveller; a devotee of Bacchus,[],,,N
back,back.n.04,noun.person,n,(football) a person who plays in the backfield,[],,,
bahai,bahai.n.01,noun.person,n,a teacher of or believer in Bahaism,[],,,N
bahamian,bahamian.n.01,noun.person,n,a native or inhabitant of the Bahamas,[],,,
bahraini,bahraini.n.01,noun.person,n,a native or inhabitant of Bahrain,[],,,
bangladeshi,bangladeshi.n.01,noun.person,n,a native or inhabitant of Bangladesh,[],,,
bankrupt,bankrupt.n.01,noun.person,n,someone who has insufficient assets to cover their debts,[],someone,,N
bantu,bantu.n.01,noun.person,n,a member of any of a large number of linguistically related peoples of Central and South Africa,[],member,,N
barbadian,barbadian.n.01,noun.person,n,a native or inhabitant of Barbados,[],,,
barbarian,savage.n.01,noun.person,n,a member of an uncivilized people,[],member,,N
barbarian,peasant.n.03,noun.person,n,a crude uncouth ill-bred person lacking culture or refinement,[],person,,N
baritone,baritone.n.01,noun.person,n,a male singer,[],singer,male,M
bass,bass.n.03,noun.person,n,an adult male singer with the lowest voice,[],singer,male,M
bastard,asshole.n.01,noun.person,n,insulting terms of address for people who are stupid or irritating or ridiculous,[],,,
bastard,bastard.n.02,noun.person,n,the illegitimate offspring of unmarried parents,[],,,N
bavarian,bavarian.n.01,noun.person,n,a native or an inhabitant of Bavaria,[],,,
beat,beatnik.n.01,noun.person,n,a member of the beat generation; a nonconformist in dress and behavior,[],member,,N
behaviorist,behaviorist.n.01,noun.person,n,a psychologist who subscribes to behaviorism,[],,,N
behaviourist,behaviorist.n.01,noun.person,n,a psychologist who subscribes to behaviorism,[],,,N
belgian,belgian.n.01,noun.person,n,a native or inhabitant of Belgium,[],,,
belligerent,combatant.n.01,noun.person,n,someone who fights (or is fighting),[],someone,,N
beloved,beloved.n.01,noun.person,n,a beloved person; used as terms of endearment,[],person,,N
benedictine,benedictine.n.01,noun.person,n,a monk or nun belonging to the order founded by Saint Benedict,[],,,M
beneficiary,beneficiary.n.01,noun.person,n,the recipient of funds or other benefits,[],,,N
bengali,bengali.n.01,noun.person,n,(Hinduism) a member of a people living in Bangladesh and West Bengal (mainly Hindus),[],,,
beninese,beninese.n.01,noun.person,n,a native or inhabitant of Benin,[],,,
bereaved,bereaved.n.01,noun.person,n,a person who has suffered the death of someone they loved,['the bereaved do not always need to be taken care of'],person,,N
bermudan,bermudan.n.01,noun.person,n,a native or inhabitant of Bermuda,[],,,
berserk,berserker.n.01,noun.person,n,one of the ancient Norse warriors legendary for working themselves into a frenzy before a battle and fighting with reckless savagery and insane fury,[],one,,N
best,best.n.02,noun.person,n,the person who is most outstanding or excellent; someone who tops all others,['he could beat the best of them'],person,,N
best,best.n.03,noun.person,n,Canadian physiologist (born in the United States) who assisted F. G. Banting in research leading to the discovery of insulin (1899-1978),[],,,
betrothed,betrothed.n.01,noun.person,n,the person to whom you are engaged,[],person,,N
better,bettor.n.01,noun.person,n,someone who bets,[],someone,,N
better,better.n.03,noun.person,n,a superior person having claim to precedence,['the common man has been kept in his place by his betters'],person,,N
bhutanese,bhutanese.n.01,noun.person,n,a native or inhabitant of Bhutan,[],,,
bilingual,bilingual.n.01,noun.person,n,a person who speaks two languages fluently,[],person,,N
bisexual,bisexual.n.01,noun.person,n,a person who is sexually attracted to both sexes,[],person,,N
black,black.n.03,noun.person,n,British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799),[],,,N
black,black.n.04,noun.person,n,popular child actress of the 1930's (born in 1928),[],,,F
black,black.n.05,noun.person,n,a person with dark skin who comes from Africa (or whose ancestors came from Africa),[],person,,N
blond,blond.n.01,noun.person,n,a person with fair skin and hair,[],person,,N
blonde,blond.n.01,noun.person,n,a person with fair skin and hair,[],person,,N
bohemian,gypsy.n.02,noun.person,n,"a member of a people with dark skin and hair who speak Romany and who traditionally live by seasonal work and fortunetelling; they are believed to have originated in northern India but now are living on all continents (but mostly in Europe, North Africa, and North America)",[],member,,N
bohemian,bohemian.n.02,noun.person,n,a native or inhabitant of Bohemia in the Czech Republic,[],,,
bohemian,bohemian.n.03,noun.person,n,a nonconformist writer or artist who lives an unconventional life,[],,,
bolivian,bolivian.n.01,noun.person,n,a native or inhabitant of Bolivia,[],,,
bolshevik,bolshevik.n.01,noun.person,n,emotionally charged terms used to refer to extreme radicals or revolutionaries,[],,,
bolshevik,bolshevik.n.02,noun.person,n,a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party,[],member,,N
bolshevist,bolshevik.n.02,noun.person,n,a Russian member of the left-wing majority group that followed Lenin and eventually became the Russian communist party,[],member,,N
bolshy,bolshevik.n.01,noun.person,n,emotionally charged terms used to refer to extreme radicals or revolutionaries,[],,,
born,born.n.01,noun.person,n,British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970),[],,,N
boss,foreman.n.01,noun.person,n,a person who exercises control over workers,['if you want to leave early you have to ask the foreman'],person,,N
boss,boss.n.02,noun.person,n,a person responsible for hiring workers,['the boss hired three more men for the new job'],person,,N
boss,boss.n.03,noun.person,n,a person who exercises control and makes decisions,['he is his own boss now'],person,,N
boss,party_boss.n.01,noun.person,n,a leader in a political party who controls votes and dictates appointments,['party bosses have a reputation for corruption'],,,N
bourgeois,businessperson.n.01,noun.person,n,a capitalist who engages in industrial commercial enterprise,[],,,N
bourgeois,bourgeois.n.02,noun.person,n,a member of the middle class,[],member,,N
brachycephalic,brachycephalic.n.01,noun.person,n,an adult with a short broad head,[],,,N
braggart,bragger.n.01,noun.person,n,a very boastful and talkative person,[],person,,N
brave,brave.n.01,noun.person,n,a North American Indian warrior,[],,,N
brazilian,brazilian.n.01,noun.person,n,a native or inhabitant of Brazil,[],,,
british,british.n.01,noun.person,n,the people of Great Britain,[],,,
briton,britisher.n.01,noun.person,n,a native or inhabitant of Great Britain,[],,,
briton,briton.n.02,noun.person,n,an inhabitant of southern Britain prior to the Anglo-Saxon invasions,[],,,N
broad,broad.n.01,noun.person,n,slang term for a woman,['a broad is a woman who can throw a mean punch'],,,
brown,brown.n.02,noun.person,n,Scottish botanist who first observed the movement of small particles in fluids now known a Brownian motion (1773-1858),[],,,
brown,brown.n.03,noun.person,n,"abolitionist who was hanged after leading an unsuccessful raid at Harper's Ferry, Virginia (1800-1859)",[],,,
bruneian,bruneian.n.01,noun.person,n,a native or inhabitant of Brunei,[],,,
brunet,brunet.n.01,noun.person,n,a person with dark (brown) hair,[],person,,N
brunette,brunet.n.01,noun.person,n,a person with dark (brown) hair,[],person,,N
brute,beast.n.02,noun.person,n,a cruelly rapacious person,[],person,,N
bucolic,peasant.n.01,noun.person,n,a country person,[],person,,N
buddhist,buddhist.n.01,noun.person,n,one who follows the teachings of Buddha,[],one,,N
buff,fan.n.03,noun.person,n,an ardent follower and admirer,[],,,N
bulgarian,bulgarian.n.01,noun.person,n,a native or inhabitant of Bulgaria,[],,,
bulimic,bulimic.n.01,noun.person,n,a person suffering from bulimia,[],person,,N
bully,bully.n.01,noun.person,n,a cruel and brutal fellow,[],,,M
bully,bully.n.02,noun.person,n,a hired thug,[],,,N
bum,rotter.n.01,noun.person,n,a person who is deemed to be despicable or contemptible,"['only a rotter would do that', 'kill the rat', 'throw the bum out', 'you cowardly little pukes!', ""the British call a contemptible person a `git'""]",person,,N
bum,tramp.n.01,noun.person,n,a disreputable vagrant,"['a homeless tramp', 'he tried to help the really down-and-out bums']",,,N
bum,idler.n.01,noun.person,n,person who does no work,['a lazy bum'],person,,N
burmese,burmese.n.01,noun.person,n,a native or inhabitant of Myanmar,[],,,
burundian,burundian.n.01,noun.person,n,a native or inhabitant of Burundi,[],,,
bush,bush.n.04,noun.person,n,43rd President of the United States; son of George Herbert Walker Bush (born in 1946),[],,,
bush,bush.n.05,noun.person,n,United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974),[],,,N
bush,bush.n.06,noun.person,n,vice president under Reagan and 41st President of the United States (born in 1924),[],,,N
butch,butch.n.01,noun.person,n,(slang) offensive term for a lesbian who is noticeably masculine,[],,,
byzantine,byzantine.n.01,noun.person,n,a native or inhabitant of Byzantium or of the Byzantine Empire,[],,,
caitiff,caitiff.n.01,noun.person,n,a cowardly and despicable person,[],person,,N
californian,californian.n.01,noun.person,n,a native or resident of California,[],,,
caller,caller.n.01,noun.person,n,a social or business visitor,"[""the room was a mess because he hadn't expected company""]",,,N
caller,caller.n.02,noun.person,n,an investor who buys a call option,[],,,N
caller,caller.n.03,noun.person,n,the bettor in a card game who matches the bet and calls for a show of hands,[],,,N
caller,caller.n.04,noun.person,n,a person who announces the changes of steps during a dance,['you need a fiddler and a caller for country dancing'],person,,N
caller,caller.n.05,noun.person,n,someone who proclaims or summons in a loud voice,['the callers were mothers summoning their children home for dinner'],someone,,N
caller,caller.n.06,noun.person,n,the person who convenes a meeting,['who is the caller of this meeting?'],person,,N
caller,caller.n.07,noun.person,n,the person initiating a telephone call,['there were so many callers that he finally disconnected the telephone'],person,,N
calvinist,calvinist.n.01,noun.person,n,an adherent of the theological doctrines of John Calvin,[],,,N
cambodian,cambodian.n.01,noun.person,n,a native or inhabitant of Cambodia,[],,,
cambrian,welshman.n.01,noun.person,n,a native or resident of Wales,[],,,
cameroonian,cameroonian.n.01,noun.person,n,a native or inhabitant of Cameroon,[],,,
canadian,canadian.n.01,noun.person,n,a native or inhabitant of Canada,[],,,
canary,fink.n.01,noun.person,n,someone acting as an informer or decoy for the police,[],someone,,N
canary,canary.n.02,noun.person,n,a female singer,[],singer,female,F
canonist,canonist.n.01,noun.person,n,a specialist in canon law,[],,,N
capetian,capetian.n.01,noun.person,n,a member of the Capetian dynasty,[],member,,N
capitalist,capitalist.n.01,noun.person,n,a conservative advocate of capitalism,[],,,N
capitalist,capitalist.n.02,noun.person,n,a person who invests capital in a business (especially a large business),[],person,,N
captive,prisoner.n.01,noun.person,n,a person who is confined; especially a prisoner of war,[],person,,N
captive,captive.n.02,noun.person,n,an animal that is confined,[],,,
captive,captive.n.03,noun.person,n,a person held in the grip of a strong emotion or passion,[],person,,N
cardinal,cardinal.n.01,noun.person,n,(Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes,[],,,
carmelite,carmelite.n.01,noun.person,n,a Roman Catholic friar wearing the white cloak of the Carmelite order; mendicant preachers,[],,,M
carolingian,carolingian.n.01,noun.person,n,a member of the Carolingian dynasty,[],member,,N
cartesian,cartesian.n.01,noun.person,n,a follower of Cartesian thought,[],,,N
carthaginian,carthaginian.n.01,noun.person,n,a native or inhabitant of ancient Carthage,[],,,
carthusian,carthusian.n.01,noun.person,n,a member of the Carthusian order,[],member,,N
catalan,catalan.n.01,noun.person,n,a native or inhabitant of Catalonia,[],,,
cataleptic,cataleptic.n.01,noun.person,n,a person suffering from catalepsy,[],person,,N
catholic,catholic.n.01,noun.person,n,a member of a Catholic church,[],member,,N
caucasian,white.n.01,noun.person,n,a member of the Caucasoid race,[],member,,N
cavalier,cavalier.n.01,noun.person,n,a gallant or courtly gentleman,[],gentleman,,M
cavalier,cavalier.n.02,noun.person,n,a royalist supporter of Charles I during the English Civil War,[],,,N
celibate,celibate.n.01,noun.person,n,an unmarried person who has taken a religious vow of chastity,[],person,,N
centenarian,centenarian.n.01,noun.person,n,someone who is at least 100 years old,[],,,
center,center.n.09,noun.person,n,(basketball) the person who plays center on a basketball team,[],,,
center,center.n.10,noun.person,n,(football) the person who plays center on the line of scrimmage and snaps the ball to the quarterback,['the center fumbled the handoff'],,,
center,center.n.13,noun.person,n,(ice hockey) the person who plays center on a hockey team,[],,,
central_american,central_american.n.01,noun.person,n,a native or inhabitant of Central America,[],,,
centrist,centrist.n.01,noun.person,n,a person who takes a position in the political center,[],person,,N
chadian,chadian.n.01,noun.person,n,a native or inhabitant of Chad,[],,,
chaldaean,chaldean.n.01,noun.person,n,a wise man skilled in occult learning,[],man,,M
chaldaean,chaldean.n.02,noun.person,n,an inhabitant of ancient Chaldea,[],,,N
chaldean,chaldean.n.01,noun.person,n,a wise man skilled in occult learning,[],man,,M
chaldean,chaldean.n.02,noun.person,n,an inhabitant of ancient Chaldea,[],,,N
chaldee,chaldean.n.01,noun.person,n,a wise man skilled in occult learning,[],man,,M
chaldee,chaldean.n.02,noun.person,n,an inhabitant of ancient Chaldea,[],,,N
champion,champion.n.01,noun.person,n,someone who has won first place in a competition,[],someone,,N
champion,champion.n.02,noun.person,n,someone who fights for a cause,[],someone,,N
champion,supporter.n.01,noun.person,n,a person who backs a politician or a team etc.,"['all their supporters came out for the game', 'they are friends of the library']",person,,N
champion,ace.n.03,noun.person,n,someone who is dazzlingly skilled in any field,[],someone,,N
cheapjack,cheapjack.n.01,noun.person,n,a peddler of inferior goods,[],,,N
chechen,chechen.n.01,noun.person,n,a native or inhabitant of Chechnya,[],,,
chichi,chichi.n.01,noun.person,n,someone who dresses in a trendy fashionable way,[],someone,,N
chicken,wimp.n.01,noun.person,n,"a person who lacks confidence, is irresolute and wishy-washy",[],,,
chief,head.n.04,noun.person,n,a person who is in charge,['the head of the whole operation'],person,,N
chief,foreman.n.01,noun.person,n,a person who exercises control over workers,['if you want to leave early you have to ask the foreman'],person,,N
chief,headman.n.02,noun.person,n,the head of a tribe or clan,[],,,N
chilean,chilean.n.01,noun.person,n,a native or inhabitant of Chile,[],,,
chinese,chinese.n.02,noun.person,n,a native or inhabitant of Communist China or of Nationalist China,[],,,
chippendale,chippendale.n.01,noun.person,n,a British cabinetmaker remembered for his graceful designs (especially of chairs) which influenced his contemporaries (1718-1779),[],,,
christian,christian.n.01,noun.person,n,a religious person who believes Jesus is the Christ and who is a member of a Christian denomination,[],member,,N
civilian,civilian.n.01,noun.person,n,a nonmilitary citizen,[],,,N
clairvoyant,clairvoyant.n.01,noun.person,n,someone who has the power of clairvoyance,[],someone,,N
classic,classic.n.02,noun.person,n,an artist who has created classic works,[],,,N
co-ed,co-ed.n.01,noun.person,n,a female student at a coeducational college or university,[],student,female,F
cockney,cockney.n.01,noun.person,n,a native of the east end of London,[],,,N
coeval,contemporary.n.01,noun.person,n,a person of nearly the same age as another,[],person,,N
cognate,blood_relation.n.01,noun.person,n,one related by blood or origin; especially on sharing an ancestor with another,[],one,,N
collectivist,collectivist.n.01,noun.person,n,a person who belongs to the political left,[],person,,N
colombian,colombian.n.01,noun.person,n,a native or inhabitant of Colombia,[],,,
colonial,colonial.n.01,noun.person,n,a resident of a colony,[],,,N
colored,colored_person.n.01,noun.person,n,a United States term for Blacks that is now considered offensive,[],,,
combatant,combatant.n.01,noun.person,n,someone who fights (or is fighting),[],someone,,N
comic,comedian.n.01,noun.person,n,a professional performer who tells jokes and performs comical acts,[],,,N
communist,communist.n.01,noun.person,n,a member of the communist party,[],member,,N
communist,communist.n.02,noun.person,n,a socialist who advocates communism,[],,,N
compulsive,compulsive.n.01,noun.person,n,a person with a compulsive disposition; someone who feels compelled to do certain things,[],person,,N
confederate,confederate.n.01,noun.person,n,a supporter of the Confederate States of America,[],,,N
confederate,confederate.n.02,noun.person,n,someone who assists in a plot,[],someone,,N
confederate,accomplice.n.01,noun.person,n,a person who joins with another in carrying out some plan (especially an unethical or illegal plan),[],person,,N
